case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_smk011,3,2,False,10.57,4.3,10.06,pyannote_31_auto,simultaneous_start,mandarin,1.45
v2_smk012,2,2,True,5.42,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.26
v2_smk013,4,2,False,16.66,9.38,23.85,pyannote_31_auto,short_backchannel,mandarin,1.67
v2_smk014,2,2,True,6.61,0.0,0.0,pyannote_31_auto,short_backchannel,mandarin,0.65
v2_smk015,2,2,True,5.49,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.82
v2_smk016,2,2,True,5.97,0.0,0.0,pyannote_31_auto,hokkien_pure,hokkien,0.75
v2_smk017,2,2,True,6.29,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,1.69
v2_smk018,2,2,True,4.08,0.02,0.02,pyannote_31_auto,codeswitch,codeswitch,0.85
v2_smk019,2,2,True,4.87,0.05,0.06,pyannote_31_auto,same_gender_similar,mandarin,0.68
v2_smk020,2,2,True,16.61,11.56,24.47,pyannote_31_auto,same_gender_similar,mandarin,0.78
v2_smk021,3,3,True,5.2,0.0,0.0,pyannote_31_auto,third_party_background,mandarin,0.67
v2_smk022,2,3,False,16.29,10.05,39.67,pyannote_31_auto,third_party_background,mandarin,0.5
v2_smk023,2,3,False,6.3,0.23,0.5,pyannote_31_auto,impostor_unknown,mandarin,0.6
v2_smk024,2,3,False,5.79,0.0,0.0,pyannote_31_auto,impostor_unknown,mandarin,0.61
v2_tun001,2,2,True,5.2,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.61
v2_tun002,2,2,True,5.26,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.65
v2_tun003,2,2,True,4.16,0.0,0.0,pyannote_31_auto,clean_turn_taking,mandarin,0.64
v2_tun004,4,2,False,12.37,6.51,7.08,pyannote_31_auto,reentry_short_gap,mandarin,0.66
v2_tun005,4,2,False,16.33,10.68,11.9,pyannote_31_auto,reentry_short_gap,mandarin,2.49
v2_tun006,3,2,False,15.33,10.63,10.16,pyannote_31_auto,reentry_short_gap,mandarin,0.7
v2_tun007,3,2,False,5.84,0.0,0.0,pyannote_31_auto,reentry_long_gap,mandarin,1.38
v2_tun008,3,2,False,20.44,15.04,18.81,pyannote_31_auto,reentry_long_gap,mandarin,1.64
v2_tun009,3,2,False,11.07,3.85,5.73,pyannote_31_auto,reentry_long_gap,mandarin,2.56
v2_tun010,3,2,False,6.46,0.58,0.76,pyannote_31_auto,short_backchannel,mandarin,0.42
v2_tun011,4,2,False,9.11,2.48,4.21,pyannote_31_auto,short_backchannel,mandarin,1.42
v2_tun012,1,2,False,28.45,22.44,61.22,pyannote_31_auto,short_backchannel,mandarin,0.52
v2_tun013,2,2,True,5.7,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.51
v2_tun014,2,2,True,6.89,1.07,2.18,pyannote_31_auto,agent_barge_in,mandarin,0.45
v2_tun015,2,2,True,4.86,0.0,0.0,pyannote_31_auto,agent_barge_in,mandarin,0.5
v2_tun016,2,2,True,5.51,0.0,0.0,pyannote_31_auto,customer_barge_in,mandarin,0.46
v2_tun017,3,2,False,16.64,11.99,24.19,pyannote_31_auto,customer_barge_in,mandarin,0.48
v2_tun018,2,2,True,11.36,7.22,17.77,pyannote_31_auto,customer_barge_in,mandarin,0.49
v2_tun019,2,2,True,6.77,0.0,0.0,pyannote_31_auto,simultaneous_start,mandarin,0.25
v2_tun020,2,2,True,15.19,8.4,19.0,pyannote_31_auto,simultaneous_start,mandarin,0.27
v2_tun021,2,2,True,14.08,10.15,25.04,pyannote_31_auto,simultaneous_start,mandarin,0.26
v2_tun022,2,2,True,5.04,0.31,0.36,pyannote_31_auto,hokkien_pure,hokkien,0.64
v2_tun023,2,2,True,4.88,0.05,0.04,pyannote_31_auto,hokkien_pure,hokkien,0.6
v2_tun024,2,2,True,6.57,0.0,0.0,pyannote_31_auto,codeswitch,codeswitch,1.46
v2_tun025,4,2,False,20.36,14.23,14.25,pyannote_31_auto,codeswitch,codeswitch,0.59
v2_tun026,2,2,True,18.31,13.76,24.73,pyannote_31_auto,same_gender_similar,mandarin,0.63
v2_tun027,2,2,True,22.93,19.37,40.45,pyannote_31_auto,same_gender_similar,mandarin,0.52
v2_tun028,3,3,True,6.21,0.0,0.0,pyannote_31_auto,third_party_background,mandarin,0.47
v2_tun029,3,3,True,18.45,13.09,42.55,pyannote_31_auto,third_party_background,mandarin,0.51
v2_tun030,1,3,False,42.79,40.14,70.07,pyannote_31_auto,impostor_unknown,mandarin,1.57
