case_id,n_speakers_pred,n_speakers_expected,speaker_count_correct,der_strict,der_lenient_025,jer,model_id,subtype,language,elapsed_sec
v2_core126,2,2,True,11.19,2.38,2.51,campp_3dspeaker,same_gender_similar,mandarin,1.98
v2_core127,2,2,True,12.43,2.1,2.09,campp_3dspeaker,same_gender_similar,mandarin,2.24
v2_core128,2,2,True,10.52,1.8,1.8,campp_3dspeaker,same_gender_similar,mandarin,2.14
v2_core129,2,2,True,9.68,1.32,1.43,campp_3dspeaker,same_gender_similar,mandarin,1.76
v2_core130,2,2,True,12.38,2.78,3.18,campp_3dspeaker,same_gender_similar,mandarin,2.42
v2_core131,2,2,True,11.33,1.89,1.86,campp_3dspeaker,same_gender_similar,mandarin,2.08
v2_core132,2,2,True,9.46,1.37,1.67,campp_3dspeaker,same_gender_similar,mandarin,2.03
v2_core133,2,2,True,10.87,1.98,1.75,campp_3dspeaker,same_gender_similar,mandarin,1.92
v2_core134,2,2,True,10.65,1.73,2.21,campp_3dspeaker,same_gender_similar,mandarin,1.93
v2_core135,2,2,True,10.33,1.81,1.93,campp_3dspeaker,same_gender_similar,mandarin,2.36
v2_core136,2,2,True,11.92,1.94,2.73,campp_3dspeaker,same_gender_similar,mandarin,1.98
v2_core137,2,2,True,8.99,1.07,1.27,campp_3dspeaker,same_gender_similar,mandarin,2.01
v2_core138,2,2,True,10.58,1.65,2.27,campp_3dspeaker,same_gender_similar,mandarin,1.89
v2_core139,2,2,True,10.75,1.93,1.71,campp_3dspeaker,same_gender_similar,mandarin,1.75
v2_core140,2,2,True,11.25,1.64,2.26,campp_3dspeaker,same_gender_similar,mandarin,2.21
v2_rol001,2,2,True,23.39,11.4,11.09,campp_3dspeaker,agent_barge_in,mandarin,1.84
v2_rol002,2,2,True,21.33,9.15,9.34,campp_3dspeaker,agent_barge_in,mandarin,1.82
v2_rol003,4,2,False,43.56,33.28,37.27,campp_3dspeaker,agent_barge_in,mandarin,2.11
v2_rol004,2,2,True,16.9,9.68,8.97,campp_3dspeaker,agent_barge_in,mandarin,1.53
v2_rol005,2,2,True,20.85,7.22,4.92,campp_3dspeaker,clean_turn_taking,mandarin,1.8
v2_rol006,2,2,True,20.81,8.74,9.16,campp_3dspeaker,clean_turn_taking,mandarin,1.93
v2_rol007,2,2,True,20.61,6.82,6.41,campp_3dspeaker,clean_turn_taking,mandarin,1.49
v2_rol008,2,2,True,19.01,6.86,4.88,campp_3dspeaker,clean_turn_taking,mandarin,1.7
v2_rol009,2,2,True,21.33,6.92,7.96,campp_3dspeaker,clean_turn_taking,mandarin,1.5
v2_rol010,2,2,True,15.46,5.35,3.45,campp_3dspeaker,clean_turn_taking,mandarin,1.38
v2_rol011,2,2,True,15.47,4.74,4.64,campp_3dspeaker,codeswitch,codeswitch,2.49
v2_rol012,2,2,True,23.68,8.56,7.81,campp_3dspeaker,codeswitch,codeswitch,1.57
v2_rol013,2,2,True,23.15,10.37,12.86,campp_3dspeaker,customer_barge_in,mandarin,2.42
v2_rol014,1,2,False,52.85,44.5,69.28,campp_3dspeaker,customer_barge_in,mandarin,0.87
v2_rol015,2,2,True,18.65,9.18,8.22,campp_3dspeaker,customer_barge_in,codeswitch,1.67
v2_rol016,2,2,True,22.38,10.05,9.66,campp_3dspeaker,customer_barge_in,mandarin,1.53
v2_rol017,2,2,True,21.28,7.89,11.11,campp_3dspeaker,hokkien_pure,hokkien,2.16
v2_rol018,2,2,True,16.77,3.85,3.5,campp_3dspeaker,hokkien_pure,hokkien,2.03
v2_rol019,2,2,True,28.0,15.25,22.44,campp_3dspeaker,hokkien_pure,hokkien,1.6
v2_rol020,2,2,True,38.01,21.33,33.15,campp_3dspeaker,hokkien_pure,hokkien,1.48
v2_rol021,2,2,True,20.82,7.63,6.25,campp_3dspeaker,no_pii_product_inquiry,mandarin,1.76
v2_rol022,2,2,True,18.45,7.19,8.45,campp_3dspeaker,no_pii_product_inquiry,mandarin,1.65
v2_rol023,2,2,True,15.88,6.1,5.63,campp_3dspeaker,no_pii_product_inquiry,mandarin,1.69
v2_rol024,2,2,True,20.22,7.84,5.83,campp_3dspeaker,reentry_long_gap,mandarin,2.42
v2_rol025,2,2,True,17.9,6.22,8.12,campp_3dspeaker,reentry_long_gap,mandarin,1.43
v2_rol026,2,2,True,21.94,8.21,8.61,campp_3dspeaker,reentry_short_gap,mandarin,1.69
v2_rol027,2,2,True,24.87,11.38,14.62,campp_3dspeaker,reentry_short_gap,mandarin,1.12
v2_rol028,2,2,True,16.91,6.04,4.73,campp_3dspeaker,reentry_short_gap,mandarin,1.17
v2_rol029,2,2,True,17.72,6.93,6.22,campp_3dspeaker,same_gender_similar,mandarin,1.59
v2_rol030,2,2,True,12.54,4.14,4.1,campp_3dspeaker,same_gender_similar,mandarin,2.27
v2_rol031,2,2,True,13.43,4.98,4.7,campp_3dspeaker,same_gender_similar,mandarin,1.72
v2_rol032,1,2,False,54.58,24.89,61.92,campp_3dspeaker,short_backchannel,mandarin,0.72
v2_rol033,1,2,False,45.6,17.25,58.47,campp_3dspeaker,short_backchannel,mandarin,0.61
v2_rol034,1,2,False,46.54,24.12,61.95,campp_3dspeaker,short_backchannel,mandarin,0.59
v2_rol035,2,2,True,18.7,7.36,7.68,campp_3dspeaker,simultaneous_start,mandarin,2.0
v2_rol036,1,2,False,45.32,32.08,57.24,campp_3dspeaker,simultaneous_start,mandarin,0.57
v2_rol037,1,2,False,74.01,54.04,74.6,campp_3dspeaker,simultaneous_start,mandarin,0.68
v2_rol038,2,3,False,29.5,17.82,44.68,campp_3dspeaker,third_party_background,mandarin,1.97
v2_rol039,2,3,False,33.21,17.05,44.29,campp_3dspeaker,third_party_background,mandarin,1.2
v2_rol040,3,3,True,13.78,3.74,3.15,campp_3dspeaker,third_party_background,mandarin,1.67
v2_smk001,2,2,True,19.65,6.67,4.66,campp_3dspeaker,clean_turn_taking,mandarin,3.05
v2_smk002,2,2,True,17.59,6.17,5.95,campp_3dspeaker,clean_turn_taking,mandarin,3.34
v2_smk003,2,2,True,21.67,8.89,13.22,campp_3dspeaker,reentry_short_gap,mandarin,3.14
v2_smk004,2,2,True,20.25,8.92,10.2,campp_3dspeaker,reentry_short_gap,mandarin,2.83
v2_smk005,2,2,True,12.92,4.49,4.83,campp_3dspeaker,reentry_long_gap,mandarin,3.13
v2_smk006,2,2,True,20.24,7.59,7.08,campp_3dspeaker,reentry_long_gap,mandarin,3.24
v2_smk007,2,2,True,23.03,13.67,22.04,campp_3dspeaker,agent_barge_in,mandarin,2.46
v2_smk008,2,2,True,18.35,8.31,8.78,campp_3dspeaker,agent_barge_in,mandarin,2.52
v2_smk009,2,2,True,21.34,8.71,10.08,campp_3dspeaker,customer_barge_in,mandarin,2.52
v2_smk010,2,2,True,22.49,10.74,12.55,campp_3dspeaker,customer_barge_in,mandarin,2.89
v2_smk011,2,2,True,22.86,13.66,26.34,campp_3dspeaker,simultaneous_start,mandarin,2.31
v2_smk012,2,2,True,25.51,15.37,14.33,campp_3dspeaker,simultaneous_start,mandarin,1.44
v2_smk013,2,2,True,18.63,4.88,7.25,campp_3dspeaker,short_backchannel,mandarin,3.01
v2_smk014,2,2,True,21.87,8.64,11.59,campp_3dspeaker,short_backchannel,mandarin,3.03
v2_smk015,2,2,True,15.22,4.7,6.82,campp_3dspeaker,hokkien_pure,hokkien,3.74
v2_smk016,2,2,True,17.25,5.82,8.53,campp_3dspeaker,hokkien_pure,hokkien,3.37
v2_smk017,2,2,True,19.21,4.75,4.66,campp_3dspeaker,codeswitch,codeswitch,2.83
v2_smk018,2,2,True,12.61,3.0,4.62,campp_3dspeaker,codeswitch,codeswitch,3.62
v2_smk019,2,2,True,12.6,3.58,3.71,campp_3dspeaker,same_gender_similar,mandarin,2.87
v2_smk020,2,2,True,12.84,4.02,4.93,campp_3dspeaker,same_gender_similar,mandarin,3.25
v2_smk021,3,3,True,15.13,4.61,4.76,campp_3dspeaker,third_party_background,mandarin,3.09
v2_smk022,2,3,False,26.74,12.86,41.67,campp_3dspeaker,third_party_background,mandarin,2.31
v2_smk023,2,3,False,20.09,6.02,5.87,campp_3dspeaker,impostor_unknown,mandarin,2.83
v2_smk024,2,3,False,22.08,9.13,10.69,campp_3dspeaker,impostor_unknown,mandarin,2.75
v2_tun001,2,2,True,16.92,4.64,3.3,campp_3dspeaker,clean_turn_taking,mandarin,2.83
v2_tun002,2,2,True,17.23,5.38,6.14,campp_3dspeaker,clean_turn_taking,mandarin,2.99
v2_tun003,2,2,True,15.43,6.51,7.49,campp_3dspeaker,clean_turn_taking,mandarin,2.79
v2_tun004,2,2,True,16.41,5.23,5.22,campp_3dspeaker,reentry_short_gap,mandarin,2.54
v2_tun005,2,2,True,18.42,5.67,7.07,campp_3dspeaker,reentry_short_gap,mandarin,2.2
v2_tun006,2,2,True,12.41,3.99,4.04,campp_3dspeaker,reentry_short_gap,mandarin,2.78
v2_tun007,2,2,True,16.6,6.05,6.33,campp_3dspeaker,reentry_long_gap,mandarin,2.84
v2_tun008,2,2,True,20.36,8.75,11.95,campp_3dspeaker,reentry_long_gap,mandarin,2.64
v2_tun009,2,2,True,18.49,5.22,6.03,campp_3dspeaker,reentry_long_gap,mandarin,2.78
v2_tun010,2,2,True,25.26,11.06,17.9,campp_3dspeaker,short_backchannel,mandarin,1.96
v2_tun011,2,2,True,20.85,6.34,8.78,campp_3dspeaker,short_backchannel,mandarin,2.02
v2_tun012,2,2,True,17.1,5.73,11.32,campp_3dspeaker,short_backchannel,mandarin,2.45
v2_tun013,2,2,True,18.86,8.24,10.6,campp_3dspeaker,agent_barge_in,mandarin,2.42
v2_tun014,4,2,False,47.71,31.83,34.45,campp_3dspeaker,agent_barge_in,mandarin,2.59
v2_tun015,2,2,True,17.81,8.25,12.71,campp_3dspeaker,agent_barge_in,mandarin,2.49
v2_tun016,2,2,True,25.17,13.17,17.94,campp_3dspeaker,customer_barge_in,mandarin,2.43
v2_tun017,2,2,True,17.36,6.66,7.34,campp_3dspeaker,customer_barge_in,mandarin,2.35
v2_tun018,2,2,True,15.36,6.94,10.62,campp_3dspeaker,customer_barge_in,mandarin,2.51
v2_tun019,2,2,True,24.94,12.93,12.33,campp_3dspeaker,simultaneous_start,mandarin,1.55
v2_tun020,2,2,True,20.82,7.7,8.92,campp_3dspeaker,simultaneous_start,mandarin,1.68
v2_tun021,2,2,True,15.56,8.18,7.25,campp_3dspeaker,simultaneous_start,mandarin,1.5
v2_tun022,2,2,True,16.98,6.6,10.12,campp_3dspeaker,hokkien_pure,hokkien,3.0
v2_tun023,2,2,True,10.68,1.95,2.36,campp_3dspeaker,hokkien_pure,hokkien,2.86
v2_tun024,2,2,True,17.79,4.25,4.08,campp_3dspeaker,codeswitch,codeswitch,2.24
v2_tun025,2,2,True,19.56,8.07,12.7,campp_3dspeaker,codeswitch,codeswitch,2.65
v2_tun026,2,2,True,13.32,3.17,2.9,campp_3dspeaker,same_gender_similar,mandarin,2.82
v2_tun027,2,2,True,11.03,2.95,4.08,campp_3dspeaker,same_gender_similar,mandarin,2.5
v2_tun028,3,3,True,15.63,4.52,5.11,campp_3dspeaker,third_party_background,mandarin,2.46
v2_tun029,3,3,True,17.53,6.55,9.67,campp_3dspeaker,third_party_background,mandarin,2.57
v2_tun030,1,3,False,55.97,44.19,71.23,campp_3dspeaker,impostor_unknown,mandarin,2.33
